"β-1","6.50×10-9","2.066×10-1*","1.34×10-9",
"β-2","1.20×10-5","3.149×10-1*","3.78×10-6",
"β-3","1.06×10-2","6.305×10-1*","6.68×10-3",
"β-4","4.80×10-2","1.461*","7.01×10-2",
"β-5","6.62×10-1","1.941*","1.28",
"β-6","1.20×10-4","1.998*","2.39×10-4",
"β-7","2.80×10-1","4.979*","1.39",
"γ1","1.50×10-8","7.872×10-1","1.18×10-8",
"γ2","2.10×10-6","8.677×10-1","1.82×10-6",
"γ3","3.40×10-5","9.869×10-1","3.35×10-5",
"γ4","1.50×10-7","1.067","1.60×10-7",
"γ5","1.21×10-3","1.754","2.12×10-3",
"γ6","3.80×10-4","1.954","7.42×10-4",
"γ7","8.20×10-3","2.741","2.24×10-2",
"γ8","1.30×10-3","2.822","3.66×10-3",
"ce-K, γ9","1.40×10-3","6.047","8.46×10-3",
"γ10","6.70×10-1","6.128","4.10",
"γ11","3.80×10-4","6.915","2.62×10-3",
"γ12","4.90×10-2","7.115","3.48×10-1",
"γ13","7.60×10-4","8.869","6.74×10-3",
"Kα1 X-ray","7.70×10-6","5.249×10-4","4.04×10-9",
"Kα2 X-ray","3.92×10-6","5.249×10-4","2.05×10-9",
"Auger-K","1.39×10-3","5.200×10-4*","7.23×10-7",

