"β-1","2.60×10-2","1.430×10-1*","3.72×10-3",
"β-2","9.09×10-1","3.048×10-1*","2.77×10-1",
"β-3","4.06×10-2","4.766×10-1*","1.93×10-2",
"β-4","9.00×10-3","5.755×10-1*","5.18×10-3",
"β-5","1.54×10-2","7.691×10-1*","1.18×10-2",
"γ1","4.80×10-2","2.206×10-1","1.05×10-2",
"γ2","8.68×10-1","3.727×10-1","3.23×10-1",
"γ3","1.18×10-1","3.968×10-1","4.70×10-2",
"γ4","3.64×10-3","4.042×10-1","1.47×10-3",
"γ5","1.12×10-1","5.933×10-1","6.68×10-2",
"γ6","7.91×10-1","6.174×10-1","4.88×10-1",
"γ7","1.47×10-3","8.010×10-1","1.18×10-3",
"γ8","2.86×10-3","9.902×10-1","2.83×10-3",
"γ9","1.96×10-2","1.021","2.00×10-2",
"γ10","1.31×10-3","1.394","1.82×10-3",

